X,Y,COUNTY,CountyName,Permits 
-8698137.656,4157427.956,Duplin,,
-8697102.385,4155200.776,Duplin,,
-8696096.279,4145395.889,Duplin,,
-8696096.279,4145395.889,Duplin,,
-8696096.279,4145395.889,Duplin,,
-8694060.357,4128859.571,Duplin,,
-8692939.036,4170229.3,Duplin,,
-8686309.738,4155148.09,Duplin,,
-8680538.045,4168380.212,Duplin,,
-8679288.929,4173840.531,Duplin,,
-8678837.417,4168723.358,Duplin,,
-8678837.417,4168723.358,Duplin,,
-8677896.099,4156248.853,Duplin,,
-8677699.398,4137372.225,Duplin,,
-8672868.132,4162182.574,Duplin,,
-8672344.93,4162440.74,Duplin,,
-8670714.656,4163265.552,Duplin,,
-8670396.839,4141480.849,Duplin,,
-8670274.388,4142389.561,Duplin,,
-8669439.492,4162332.038,Duplin,,
-8699896.504,4138199.253,Duplin,,
-8694887.127,4159356.727,Duplin,,
-8686227.918,4154286.811,Duplin,,
-8684467.623,4156518.018,Duplin,,
-8679422.512,4165487.143,Duplin,,
-8678712.405,4166259.579,Duplin,,
-8670240.992,4168407.402,Duplin,,
-8664062.76,4159017.131,Duplin,,
-8663164.635,4159867.908,Duplin,,
-8690801.702,4178417.933,Duplin,,
-8686627.221,4169658.225,Duplin,,
-8674170.57,4179819.584,Duplin,,
-8666640.029,4183702.674,Duplin,,
-8663684.274,4167469.378,Duplin,,
-8663394.064,4182177.887,Duplin,,
-8661457.884,4166640.175,Duplin,,
-8657906.792,4172799.499,Duplin,,
-8656874.193,4169579.909,Duplin,,
-8656874.193,4169579.909,Duplin,,
-8657644.858,4127264.118,Duplin,,
-8687027.971,4189772.32,Duplin,,
-8681840.483,4176159.335,Duplin,,
-8670240.992,4164451.922,Duplin,,
-8665732.553,4159207.304,Duplin,,
-8665142.559,4163011.444,Duplin,,
-8664864.261,4157468.701,Duplin,,
-8663469.093,4149910.43,Duplin,,
-8657376.689,4174713.665,Duplin,,
-8657164.291,4162995.137,Duplin,,
-8650147.824,4141738.536,Duplin,,
-8649034.629,4146038.715,Duplin,,
-8692816.585,4138687.363,Duplin,,
-8681651.24,4134064.728,Duplin,,
-8681094.197,4134325.768,Duplin,,
-8687061.367,4183984.758,Duplin,,
-8682741.614,4178622.454,Duplin,,
-8682486.136,4179261.624,Duplin,,
-8682296.893,4183753.318,Duplin,,
-8680660.496,4178758.123,Duplin,,
-8680103.899,4179098.324,Duplin,,
-8678122.412,4173887.594,Duplin,,
